Ground Distance, Horizontal Forces
   0.000000,    0.000000
   1.888085,    0.000000
   7.513221,    0.000000
  16.814509,    0.000000
  29.728264,    0.000000
  46.188243,    0.000000
  66.125878,    0.000000
  89.470499,    0.000000
 116.149580,    0.000000
 146.088975,    0.000000
 179.213138,    0.000000
 215.445372,    0.000000
 254.708077,    0.000000
 296.923005,    0.000000
 342.011535,    0.000000
 389.894897,    0.000000
 440.494426,    0.000000
 493.731706,    0.000000
 549.528727,    0.000000
 590.498974,    0.000000
 590.498974,    0.000000
 627.926750,    0.000000
 636.100921,  129.158634
 666.657408,  980.014626
 667.273970, 1000.478493
 729.938616, 3543.184637
 794.398115, 6920.232144
 860.312635, 10905.874201
 876.661866, 11950.703801
 943.864720, 16383.003961
1011.671322, 20934.749653
1079.706555, 25411.373700
1147.618240, 29638.133046
1215.089609, 33462.437031
1281.849367, 36754.448966
1347.678900, 39405.908341
1412.418152, 41328.686958
1475.970643, 42453.524465
1526.253473, 42744.409358
1526.253473, 42744.409358
1588.220087, 42744.409358
1662.262372, 42744.409358
1662.262372, 42744.409358
1724.228987, 42744.409358
1786.195601, 42744.409358
1848.162215, 42744.409358
1910.128829, 42744.409358
1972.095443, 42744.409358
2034.062057, 42744.409358
2096.028671, 42744.409358
2157.995285, 42744.409358
2219.961899, 42744.409358
2281.928513, 42744.409358
2343.895127, 42744.409358
2405.861741, 42744.409358
2467.828355, 42744.409358
2529.794969, 42744.409358
2591.761583, 42744.409358
2653.728197, 42744.409358
2715.694811, 42744.409358
2777.661425, 42744.409358
2839.628039, 42744.409358
2901.594653, 42744.409358
2963.561267, 42744.409358
3025.527882, 42744.409358
3087.494496, 42744.409358
3149.461110, 42744.409358
3211.427724, 42744.409358
3273.394338, 42744.409358
3335.360952, 42744.409358
3397.327566, 42744.409358
3459.294180, 42744.409358
3521.260794, 42744.409358
3583.227408, 42744.409358
3645.194022, 42744.409358
3707.160636, 42744.409358
3769.127250, 42744.409358
3831.093864, 42744.409358
3893.060478, 42744.409358
3955.027092, 42744.409358
4016.993706, 42744.409358
4078.960320, 42744.409358
4140.926934, 42744.409358
4202.893548, 42744.409358
4264.860162, 42744.409358
4326.826777, 42744.409358
4388.793391, 42744.409358
4450.760005, 42744.409358
4512.726619, 42744.409358
4574.693233, 42744.409358
4636.659847, 42744.409358
4698.626461, 42744.409358
4760.593075, 42744.409358
4822.559689, 42744.409358
4884.526303, 42744.409358
4946.492917, 42744.409358
5008.459531, 42744.409358
5070.426145, 42744.409358
5132.392759, 42744.409358
5194.359373, 42744.409358
5256.325987, 42744.409358
5318.292601, 42744.409358
5380.259215, 42744.409358
5442.225829, 42744.409358
5504.192443, 42744.409358
5566.159057, 42744.409358
5628.125672, 42744.409358
5690.092286, 42744.409358
5752.058900, 42744.409358
5814.025514, 42744.409358
5875.992128, 42744.409358
5937.958742, 42744.409358
5999.925356, 42744.409358
6061.891970, 42744.409358
6123.858584, 42744.409358
6185.825198, 42744.409358
6247.791812, 42744.409358
6309.758426, 42744.409358
6371.725040, 42744.409358
6433.691654, 42744.409358
6495.658268, 42744.409358
6557.624882, 42744.409358
6619.591496, 42744.409358
6681.558110, 42744.409358
6743.524724, 42744.409358
6805.491338, 42744.409358
6867.457953, 42744.409358
6929.424567, 42744.409358
6991.391181, 42744.409358
7053.357795, 42744.409358
7115.324409, 42744.409358
7177.291023, 42744.409358
7239.257637, 42744.409358
7301.224251, 42744.409358
7363.190865, 42744.409358
7425.157479, 42744.409358
7487.124093, 42744.409358
7549.090707, 42744.409358
7611.057321, 42744.409358
7673.023935, 42744.409358
7734.990549, 42744.409358
7796.957163, 42744.409358
7858.923777, 42744.409358
7920.890391, 42744.409358
7982.857005, 42744.409358
8000.000000, 42744.409358
