alpha_h, Cl
   0.000000,    0.220735
   0.034483,    0.222121
   0.068966,    0.224710
   0.103448,    0.227114
   0.137931,    0.229323
   0.172414,    0.231324
   0.206897,    0.233103
   0.241379,    0.234644
   0.275862,    0.235931
   0.310345,    0.236941
   0.344828,    0.237653
   0.379310,    0.238039
   0.413793,    0.238069
   0.448276,    0.237705
   0.482759,    0.236907
   0.517241,    0.235614
   0.551724,    0.233767
   0.586207,    0.231299
   0.620690,    0.228126
   0.655172,    0.224142
   0.689655,    0.219215
   0.724138,    0.213179
   0.758621,    0.205820
   0.793103,    0.196850
   0.827586,    0.185873
   0.862069,    0.172302
   0.896552,    0.155203
   0.931034,    0.132866
   0.965517,    0.101271
   1.000000,    0.000000
