alpha_h, Cl
   0.000000,    0.662205
   0.034483,    0.666364
   0.068966,    0.674129
   0.103448,    0.681342
   0.137931,    0.687969
   0.172414,    0.693972
   0.206897,    0.699309
   0.241379,    0.703933
   0.275862,    0.707792
   0.310345,    0.710824
   0.344828,    0.712960
   0.379310,    0.714118
   0.413793,    0.714206
   0.448276,    0.713116
   0.482759,    0.710720
   0.517241,    0.706843
   0.551724,    0.701300
   0.586207,    0.693898
   0.620690,    0.684379
   0.655172,    0.672426
   0.689655,    0.657644
   0.724138,    0.639537
   0.758621,    0.617459
   0.793103,    0.590551
   0.827586,    0.557618
   0.862069,    0.516906
   0.896552,    0.465608
   0.931034,    0.398597
   0.965517,    0.303813
   1.000000,    0.000000
