alpha_h, Cl
   0.000000,    1.655513
   0.034483,    1.665910
   0.068966,    1.685323
   0.103448,    1.703356
   0.137931,    1.719922
   0.172414,    1.734929
   0.206897,    1.748272
   0.241379,    1.759834
   0.275862,    1.769481
   0.310345,    1.777061
   0.344828,    1.782400
   0.379310,    1.785296
   0.413793,    1.785516
   0.448276,    1.782790
   0.482759,    1.776800
   0.517241,    1.767108
   0.551724,    1.753249
   0.586207,    1.734745
   0.620690,    1.710948
   0.655172,    1.681065
   0.689655,    1.644111
   0.724138,    1.598842
   0.758621,    1.543647
   0.793103,    1.476377
   0.827586,    1.394046
   0.862069,    1.292265
   0.896552,    1.164019
   0.931034,    0.996492
   0.965517,    0.759532
   1.000000,    0.000000
