alpha, CL
   0.000000,    0.475716
   1.578947,    0.530324
   3.157895,    0.584931
   4.736842,    0.639539
   6.315789,    0.694147
   7.894737,    0.748755
   9.473684,    0.803363
  11.052632,    0.857970
  12.631579,    0.912512
  14.210526,    0.966688
  15.789474,    1.020152
  17.368421,    1.072571
  18.947368,    1.123623
  20.526316,    1.172994
  22.105263,    1.220384
  23.684211,    1.265501
  25.263158,    1.308066
  26.842105,    1.347811
  28.421053,    1.384476
  30.000000,    1.417814
