alpha, CL
   0.000000,    0.285507
   1.578947,    0.340115
   3.157895,    0.394723
   4.736842,    0.449331
   6.315789,    0.503939
   7.894737,    0.558546
   9.473684,    0.613154
  11.052632,    0.667762
  12.631579,    0.722304
  14.210526,    0.776479
  15.789474,    0.829943
  17.368421,    0.882363
  18.947368,    0.933414
  20.526316,    0.982785
  22.105263,    1.030175
  23.684211,    1.075292
  25.263158,    1.117858
  26.842105,    1.157602
  28.421053,    1.194267
  30.000000,    1.227605
