CL_e, CD_e
   0.063301,    1.298138
   0.061431,    1.388542
   0.060001,    1.479100
   0.058996,    1.569811
   0.058452,    1.660673
   0.058346,    1.751811
   0.058708,    1.842961
   0.059534,    1.934260
   0.060836,    2.025708
   0.062629,    2.117302
   0.064909,    2.209043
   0.067704,    2.300929
   0.071023,    2.392960
   0.074881,    2.485134
   0.079287,    2.577453
   0.084246,    2.669915
   0.089801,    2.762520
   0.096005,    2.855267
   0.102934,    2.948153
   0.110701,    3.041175
   0.119395,    3.134332
   0.129012,    3.227623
   0.138861,    3.321055
   0.148802,    3.411896
   0.158438,    3.492727
   0.167317,    3.557761
   0.175056,    3.603683
   0.181369,    3.629661
   0.186103,    3.637358
   0.189230,    3.630938
