eta, Cl_basic
   0.000000,    0.336759
   0.020408,    0.339242
   0.040816,    0.344032
   0.061224,    0.348657
   0.081633,    0.353092
   0.102041,    0.357326
   0.122449,    0.361351
   0.142857,    0.365163
   0.163265,    0.368756
   0.183673,    0.372125
   0.204082,    0.375261
   0.224490,    0.378151
   0.244898,    0.380778
   0.265306,    0.383114
   0.285714,    0.385051
   0.306122,    0.386124
   0.326531,    0.385882
   0.346939,    0.385012
   0.367347,    0.383740
   0.387755,    0.382110
   0.408163,    0.380151
   0.428571,    0.377884
   0.448980,    0.375327
   0.469388,    0.372494
   0.489796,    0.369394
   0.510204,    0.366034
   0.530612,    0.362419
   0.551020,    0.358555
   0.571429,    0.354442
   0.591837,    0.350080
   0.612245,    0.345464
   0.632653,    0.340586
   0.653061,    0.335436
   0.673469,    0.329997
   0.693878,    0.324247
   0.714286,    0.318160
   0.734694,    0.311696
   0.755102,    0.304807
   0.775510,    0.297425
   0.795918,    0.289463
   0.816327,    0.280802
   0.836735,    0.271276
   0.857143,    0.260655
   0.877551,    0.248606
   0.897959,    0.234635
   0.918367,    0.217966
   0.938776,    0.197306
   0.959184,    0.170242
   0.979592,    0.131143
   1.000000,    0.000000
