alpha body, Static Stability Margin
  -4.000000,   -0.273472
  -3.517241,   -0.274391
  -3.034483,   -0.276221
  -2.551724,   -0.278127
  -2.068966,   -0.280175
  -1.586207,   -0.282156
  -1.103448,   -0.284027
  -0.620690,   -0.285935
  -0.137931,   -0.103479
   0.344828,   -0.157285
   0.827586,   -0.395541
   1.310345,   -0.397629
   1.793103,   -0.399769
   2.275862,   -0.401994
   2.758621,   -0.404492
   3.241379,   -0.407385
   3.724138,   -0.410221
   4.206897,   -0.412768
   4.689655,   -0.415306
   5.172414,   -0.418180
   5.655172,   -0.421134
   6.137931,   -0.423921
   6.620690,   -0.426790
   7.103448,   -0.429887
   7.586207,   -0.452007
   8.068966,   -0.581570
   8.551724,   -0.690299
   9.034483,   -0.689622
   9.517241,   -0.691815
  10.000000,   -0.694327
