alpha body, Static Stability Margin
  -4.000000,    0.064651
  -3.517241,    0.063978
  -3.034483,    0.062637
  -2.551724,    0.061238
  -2.068966,    0.059708
  -1.586207,    0.058220
  -1.103448,    0.056825
  -0.620690,    0.055397
  -0.137931,    0.213513
   0.344828,    0.167176
   0.827586,   -0.038783
   1.310345,   -0.040375
   1.793103,   -0.042019
   2.275862,   -0.043730
   2.758621,   -0.045687
   3.241379,   -0.047798
   3.724138,   -0.050080
   4.206897,   -0.052319
   4.689655,   -0.054333
   5.172414,   -0.056635
   5.655172,   -0.059020
   6.137931,   -0.061275
   6.620690,   -0.063598
   7.103448,   -0.066132
   7.586207,   -0.086205
   8.068966,   -0.205518
   8.551724,   -0.305788
   9.034483,   -0.305159
   9.517241,   -0.306936
  10.000000,   -0.309016
