eta, Cd
   0.000000, 2173.377400
   0.020408, 2119.625836
   0.040816, 2073.273080
   0.061224, 2025.692669
   0.081633, 1976.424730
   0.102041, 1925.695544
   0.122449, 1875.324101
   0.142857, 1823.660270
   0.163265, 1771.622653
   0.183673, 1719.278270
   0.204082, 1666.013836
   0.224490, 1613.137555
   0.244898, 1559.208178
   0.265306, 1505.849304
   0.285714, 1451.652545
   0.306122, 1398.275004
   0.326531, 1344.319673
   0.346939, 1289.905983
   0.367347, 1259.781812
   0.387755, 1230.384973
   0.408163, 1201.195041
   0.428571, 1172.113996
   0.448980, 1143.097763
   0.469388, 1114.126613
   0.489796, 1085.198053
   0.510204, 1056.288162
   0.530612, 1027.398469
   0.551020,  998.557065
   0.571429,  969.764200
   0.591837,  941.024749
   0.612245,  912.343636
   0.632653,  883.724865
   0.653061,  855.170796
   0.673469,  826.681369
   0.693878,  798.253176
   0.714286,  769.878254
   0.734694,  741.624168
   0.755102,  713.481622
   0.775510,  685.333548
   0.795918,  657.133603
   0.816327,  628.814968
   0.836735,  600.282876
   0.857143,  571.661741
   0.877551,  542.674105
   0.897959,  513.179362
   0.918367,  483.734123
   0.938776,  456.081398
   0.959184,  441.027687
   0.979592,  558.362405
   1.000000, -725.586471
