alpha, CM
  -4.000000,    0.035713
  -3.517241,    0.035697
  -3.034483,    0.035681
  -2.551724,    0.035665
  -2.068966,    0.035649
  -1.586207,    0.035633
  -1.103448,    0.035617
  -0.620690,    0.035601
  -0.137931,    0.035585
   0.344828,    0.035570
   0.827586,    0.035554
   1.310345,    0.035539
   1.793103,    0.035523
   2.275862,    0.035508
   2.758621,    0.035492
   3.241379,    0.035477
   3.724138,    0.035462
   4.206897,    0.035447
   4.689655,    0.035431
   5.172414,    0.035416
   5.655172,    0.035401
   6.137931,    0.035386
   6.620690,    0.035371
   7.103448,    0.035356
   7.586207,    0.035341
   8.068966,    0.035324
   8.551724,    0.035299
   9.034483,    0.035273
   9.517241,    0.035246
  10.000000,    0.035219
