alpha, CM
  -4.000000,    0.005147
  -3.517241,    0.005131
  -3.034483,    0.005115
  -2.551724,    0.005099
  -2.068966,    0.005083
  -1.586207,    0.005067
  -1.103448,    0.005051
  -0.620690,    0.005035
  -0.137931,    0.005020
   0.344828,    0.005004
   0.827586,    0.004988
   1.310345,    0.004973
   1.793103,    0.004957
   2.275862,    0.004942
   2.758621,    0.004926
   3.241379,    0.004911
   3.724138,    0.004896
   4.206897,    0.004881
   4.689655,    0.004865
   5.172414,    0.004850
   5.655172,    0.004835
   6.137931,    0.004820
   6.620690,    0.004805
   7.103448,    0.004790
   7.586207,    0.004775
   8.068966,    0.004758
   8.551724,    0.004733
   9.034483,    0.004707
   9.517241,    0.004680
  10.000000,    0.004653
