alpha, CM
  -4.000000,    0.077100
  -3.517241,    0.077084
  -3.034483,    0.077068
  -2.551724,    0.077052
  -2.068966,    0.077036
  -1.586207,    0.077020
  -1.103448,    0.077004
  -0.620690,    0.076989
  -0.137931,    0.076973
   0.344828,    0.076957
   0.827586,    0.076942
   1.310345,    0.076926
   1.793103,    0.076911
   2.275862,    0.076895
   2.758621,    0.076880
   3.241379,    0.076864
   3.724138,    0.076849
   4.206897,    0.076834
   4.689655,    0.076819
   5.172414,    0.076804
   5.655172,    0.076789
   6.137931,    0.076774
   6.620690,    0.076759
   7.103448,    0.076744
   7.586207,    0.076729
   8.068966,    0.076711
   8.551724,    0.076686
   9.034483,    0.076660
   9.517241,    0.076634
  10.000000,    0.076606
