alpha, CM
  -4.000000,    0.018493
  -3.517241,    0.018476
  -3.034483,    0.018460
  -2.551724,    0.018444
  -2.068966,    0.018428
  -1.586207,    0.018412
  -1.103448,    0.018397
  -0.620690,    0.018381
  -0.137931,    0.018365
   0.344828,    0.018350
   0.827586,    0.018334
   1.310345,    0.018318
   1.793103,    0.018303
   2.275862,    0.018287
   2.758621,    0.018272
   3.241379,    0.018257
   3.724138,    0.018241
   4.206897,    0.018226
   4.689655,    0.018211
   5.172414,    0.018196
   5.655172,    0.018181
   6.137931,    0.018166
   6.620690,    0.018151
   7.103448,    0.018136
   7.586207,    0.018121
   8.068966,    0.018104
   8.551724,    0.018079
   9.034483,    0.018053
   9.517241,    0.018026
  10.000000,    0.017998
