alpha, CM
  -4.000000,    0.055849
  -3.517241,    0.055833
  -3.034483,    0.055817
  -2.551724,    0.055801
  -2.068966,    0.055785
  -1.586207,    0.055769
  -1.103448,    0.055754
  -0.620690,    0.055738
  -0.137931,    0.055722
   0.344828,    0.055706
   0.827586,    0.055691
   1.310345,    0.055675
   1.793103,    0.055660
   2.275862,    0.055644
   2.758621,    0.055629
   3.241379,    0.055614
   3.724138,    0.055598
   4.206897,    0.055583
   4.689655,    0.055568
   5.172414,    0.055553
   5.655172,    0.055538
   6.137931,    0.055523
   6.620690,    0.055508
   7.103448,    0.055493
   7.586207,    0.055478
   8.068966,    0.055461
   8.551724,    0.055436
   9.034483,    0.055410
   9.517241,    0.055383
  10.000000,    0.055355
