alpha, CM
  -4.000000,   -0.137639
  -3.517241,   -0.137200
  -3.034483,   -0.136762
  -2.551724,   -0.136323
  -2.068966,   -0.135884
  -1.586207,   -0.135446
  -1.103448,   -0.135007
  -0.620690,   -0.134568
  -0.137931,   -0.134129
   0.344828,   -0.133691
   0.827586,   -0.133252
   1.310345,   -0.132813
   1.793103,   -0.132375
   2.275862,   -0.131936
   2.758621,   -0.131497
   3.241379,   -0.131058
   3.724138,   -0.130620
   4.206897,   -0.130181
   4.689655,   -0.129742
   5.172414,   -0.129304
   5.655172,   -0.128865
   6.137931,   -0.128426
   6.620690,   -0.127987
   7.103448,   -0.127549
   7.586207,   -0.127110
   8.068966,   -0.126671
   8.551724,   -0.126232
   9.034483,   -0.125794
   9.517241,   -0.125355
  10.000000,   -0.124916
