alpha, CM
  -4.000000,    0.000325
  -3.517241,    0.000309
  -3.034483,    0.000293
  -2.551724,    0.000277
  -2.068966,    0.000261
  -1.586207,    0.000245
  -1.103448,    0.000229
  -0.620690,    0.000213
  -0.137931,    0.000198
   0.344828,    0.000182
   0.827586,    0.000166
   1.310345,    0.000151
   1.793103,    0.000135
   2.275862,    0.000120
   2.758621,    0.000105
   3.241379,    0.000089
   3.724138,    0.000074
   4.206897,    0.000059
   4.689655,    0.000043
   5.172414,    0.000028
   5.655172,    0.000013
   6.137931,   -0.000002
   6.620690,   -0.000017
   7.103448,   -0.000032
   7.586207,   -0.000047
   8.068966,   -0.000064
   8.551724,   -0.000089
   9.034483,   -0.000115
   9.517241,   -0.000141
  10.000000,   -0.000169
