alpha, CM
  -4.000000,    0.099126
  -3.517241,    0.099110
  -3.034483,    0.099094
  -2.551724,    0.099078
  -2.068966,    0.099062
  -1.586207,    0.099046
  -1.103448,    0.099030
  -0.620690,    0.099014
  -0.137931,    0.098999
   0.344828,    0.098983
   0.827586,    0.098967
   1.310345,    0.098952
   1.793103,    0.098936
   2.275862,    0.098921
   2.758621,    0.098906
   3.241379,    0.098890
   3.724138,    0.098875
   4.206897,    0.098860
   4.689655,    0.098845
   5.172414,    0.098829
   5.655172,    0.098814
   6.137931,    0.098799
   6.620690,    0.098784
   7.103448,    0.098769
   7.586207,    0.098754
   8.068966,    0.098737
   8.551724,    0.098712
   9.034483,    0.098686
   9.517241,    0.098660
  10.000000,    0.098632
