alpha body, CM
  -4.000000,    0.646325
  -3.172414,    0.667518
  -2.344828,    0.689208
  -1.517241,    0.711387
  -0.689655,    0.734046
   0.137931,    0.757631
   0.965517,    0.781206
   1.793103,    0.805253
   2.620690,    0.829762
   3.448276,    0.854721
   4.275862,    0.880124
   5.103448,    0.905124
   5.931034,    0.929316
   6.758621,    0.953554
   7.586207,    0.977774
   8.413793,    1.000725
   9.241379,    1.019198
  10.068966,    1.029699
  10.896552,    1.029439
  11.724138,    1.016456
  12.551724,    0.990568
  13.379310,    0.956536
  14.206897,    0.934638
  15.034483,    0.916622
  15.862069,    0.904162
  16.689655,    0.901919
  17.517241,    0.915861
  18.344828,    0.953302
  19.172414,    1.022933
  20.000000,    1.134850
