alpha body, CM
  -4.000000,   -0.165305
  -3.172414,   -0.145754
  -2.344828,   -0.125542
  -1.517241,   -0.104676
  -0.689655,   -0.083166
   0.137931,   -0.060565
   0.965517,   -0.037808
   1.793103,   -0.014415
   2.620690,    0.009606
   3.448276,    0.034243
   4.275862,    0.059489
   5.103448,    0.084497
   5.931034,    0.108864
   6.758621,    0.133442
   7.586207,    0.158166
   8.413793,    0.181789
   9.241379,    0.201098
  10.068966,    0.212600
  10.896552,    0.213506
  11.724138,    0.201854
  12.551724,    0.177461
  13.379310,    0.145088
  14.206897,    0.125013
  15.034483,    0.108984
  15.862069,    0.098673
  16.689655,    0.098741
  17.517241,    0.115158
  18.344828,    0.155234
  19.172414,    0.227661
  20.000000,    0.342534
