alpha body, CM
  -4.000000,   -0.381139
  -3.172414,   -0.362101
  -2.344828,   -0.342357
  -1.517241,   -0.321915
  -0.689655,   -0.300783
   0.137931,   -0.278516
   0.965517,   -0.256047
   1.793103,   -0.232897
   2.620690,   -0.209073
   3.448276,   -0.184588
   4.275862,   -0.159449
   5.103448,   -0.134502
   5.931034,   -0.110152
   6.758621,   -0.085544
   7.586207,   -0.060744
   8.413793,   -0.037002
   9.241379,   -0.017527
  10.068966,   -0.005814
  10.896552,   -0.004651
  11.724138,   -0.016002
  12.551724,   -0.040048
  13.379310,   -0.072029
  14.206897,   -0.091667
  15.034483,   -0.107215
  15.862069,   -0.116999
  16.689655,   -0.116359
  17.517241,   -0.099327
  18.344828,   -0.058590
  19.172414,    0.014541
  20.000000,    0.130164
