alpha body, CM
  -4.000000,    0.262291
  -3.172414,    0.282817
  -2.344828,    0.303917
  -1.517241,    0.325581
  -0.689655,    0.347802
   0.137931,    0.371024
   0.965517,    0.394312
   1.793103,    0.418148
   2.620690,    0.442523
   3.448276,    0.467425
   4.275862,    0.492846
   5.103448,    0.517940
   5.931034,    0.542303
   6.758621,    0.566788
   7.586207,    0.591330
   8.413793,    0.614680
   9.241379,    0.633629
  10.068966,    0.644680
  10.896552,    0.645047
  11.724138,    0.632766
  12.551724,    0.607656
  13.379310,    0.574477
  14.206897,    0.553508
  15.034483,    0.536495
  15.862069,    0.525113
  16.689655,    0.524023
  17.517241,    0.539192
  18.344828,    0.577934
  19.172414,    0.648940
  20.000000,    0.762305
