alpha body, CM
  -4.000000,    0.466702
  -3.172414,    0.487617
  -2.344828,    0.509064
  -1.517241,    0.531035
  -0.689655,    0.553522
   0.137931,    0.576969
   0.965517,    0.600442
   1.793103,    0.624422
   2.620690,    0.648899
   3.448276,    0.673862
   4.275862,    0.699304
   5.103448,    0.724378
   5.931034,    0.748679
   6.758621,    0.773062
   7.586207,    0.797461
   8.413793,    0.820628
   9.241379,    0.839352
  10.068966,    0.850137
  10.896552,    0.850198
  11.724138,    0.837570
  12.551724,    0.812072
  13.379310,    0.778465
  14.206897,    0.757027
  15.034483,    0.739505
  15.862069,    0.727574
  16.689655,    0.725894
  17.517241,    0.740434
  18.344828,    0.778506
  19.172414,    0.848803
  20.000000,    0.961419
