alpha body, CM
  -4.000000,    0.509208
  -3.172414,    0.530156
  -2.344828,    0.551629
  -1.517241,    0.573618
  -0.689655,    0.596115
   0.137931,    0.619565
   0.965517,    0.643033
   1.793103,    0.667000
   2.620690,    0.691457
   3.448276,    0.716392
   4.275862,    0.741799
   5.103448,    0.766829
   5.931034,    0.791079
   6.758621,    0.815404
   7.586207,    0.839736
   8.413793,    0.862829
   9.241379,    0.881471
  10.068966,    0.892168
  10.896552,    0.892131
  11.724138,    0.879399
  12.551724,    0.853790
  13.379310,    0.820063
  14.206897,    0.798498
  15.034483,    0.780842
  15.862069,    0.768770
  16.689655,    0.766940
  17.517241,    0.781324
  18.344828,    0.819233
  19.172414,    0.889359
  20.000000,    1.001797
