alpha body, CM
  -4.000000,    0.050666
  -3.172414,    0.070719
  -2.344828,    0.091387
  -1.517241,    0.112665
  -0.689655,    0.134542
   0.137931,    0.157464
   0.965517,    0.180497
   1.793103,    0.204121
   2.620690,    0.228328
   3.448276,    0.253106
   4.275862,    0.278447
   5.103448,    0.303505
   5.931034,    0.327875
   6.758621,    0.352412
   7.586207,    0.377050
   8.413793,    0.400540
   9.241379,    0.419673
  10.068966,    0.430952
  10.896552,    0.431590
  11.724138,    0.419625
  12.551724,    0.394873
  13.379310,    0.362097
  14.206897,    0.341574
  15.034483,    0.325050
  15.862069,    0.314202
  16.689655,    0.313687
  17.517241,    0.329476
  18.344828,    0.368880
  19.172414,    0.440591
  20.000000,    0.554704
