alpha, CM
  -4.000000,   -0.154296
  -3.517241,   -0.154296
  -3.034483,   -0.154297
  -2.551724,   -0.154297
  -2.068966,   -0.154298
  -1.586207,   -0.154298
  -1.103448,   -0.154299
  -0.620690,   -0.154299
  -0.137931,   -0.154300
   0.344828,   -0.153899
   0.827586,   -0.153928
   1.310345,   -0.153958
   1.793103,   -0.153987
   2.275862,   -0.154017
   2.758621,   -0.154046
   3.241379,   -0.154076
   3.724138,   -0.154105
   4.206897,   -0.154135
   4.689655,   -0.154164
   5.172414,   -0.154194
   5.655172,   -0.154223
   6.137931,   -0.154253
   6.620690,   -0.154282
   7.103448,   -0.154312
   7.586207,   -0.154341
   8.068966,   -0.154371
   8.551724,   -0.154401
   9.034483,   -0.154430
   9.517241,   -0.154460
  10.000000,   -0.154489
