alpha, CL
  -6.000000,   -0.266314
  -5.517241,   -0.212882
  -5.034483,   -0.159449
  -4.551724,   -0.106017
  -4.068966,   -0.052585
  -3.586207,    0.000848
  -3.103448,    0.054280
  -2.620690,    0.107712
  -2.137931,    0.161145
  -1.655172,    0.214577
  -1.172414,    0.268009
  -0.689655,    0.321442
  -0.206897,    0.374874
   0.275862,    0.428306
   0.758621,    0.481738
   1.241379,    0.535171
   1.724138,    0.588603
   2.206897,    0.642035
   2.689655,    0.695468
   3.172414,    0.748900
   3.655172,    0.802332
   4.137931,    0.855765
   4.620690,    0.909197
   5.103448,    0.962629
   5.586207,    1.016062
   6.068966,    1.069494
   6.551724,    1.122926
   7.034483,    1.176358
   7.517241,    1.229791
   8.000000,    1.283211
