eta, cCl
   0.000000,    2.600486
   0.020408,    2.592603
   0.040816,    2.595873
   0.061224,    2.599564
   0.081633,    2.603123
   0.102041,    2.606233
   0.122449,    2.608691
   0.142857,    2.610361
   0.163265,    2.611142
   0.183673,    2.610963
   0.204082,    2.609765
   0.224490,    2.607502
   0.244898,    2.604134
   0.265306,    2.599623
   0.285714,    2.593934
   0.306122,    2.587031
   0.326531,    2.578879
   0.346939,    2.569438
   0.367347,    2.558666
   0.387755,    2.546516
   0.408163,    2.532936
   0.428571,    2.517870
   0.448980,    2.501252
   0.469388,    2.483010
   0.489796,    2.463064
   0.510204,    2.441303
   0.530612,    2.417620
   0.551020,    2.391918
   0.571429,    2.364064
   0.591837,    2.333910
   0.612245,    2.301289
   0.632653,    2.266010
   0.653061,    2.227858
   0.673469,    2.186585
   0.693878,    2.141911
   0.714286,    2.093512
   0.734694,    2.041014
   0.755102,    1.983980
   0.775510,    1.921899
   0.795918,    1.854157
   0.816327,    1.780008
   0.836735,    1.698523
   0.857143,    1.608506
   0.877551,    1.508357
   0.897959,    1.395834
   0.918367,    1.267576
   0.938776,    1.118088
   0.959184,    0.937029
   0.979592,    0.699296
   1.000000,    0.000000
