Time, Efficiency
   0.000000,   11.834562
   0.001667,   11.834562
   0.003333,   11.834562
   0.005000,   11.834562
   0.006667,   11.834562
   0.008333,   11.834562
   0.010000,   11.834562
   0.011667,   11.834562
   0.013333,   11.834562
   0.015000,   11.834562
   0.016667,   11.834562
   0.018333,   11.834562
   0.020000,   11.834562
   0.021667,   11.834562
   0.023333,   11.834562
   0.025000,   11.834562
   0.026667,   11.834562
   0.028333,   11.834562
   0.030000,   11.834562
   0.031667,   11.834562
   0.033333,   11.834562
   0.035000,   11.834562
   0.036667,   11.834562
   0.038333,   11.834562
   0.040000,   11.834562
   0.041667,   11.834562
   0.043333,   11.834562
   0.045000,   11.834562
   0.046667,   11.834562
   0.048333,   11.834562
   0.050000,   11.834562
   0.051667,   11.834562
   0.053333,   11.834562
   0.055000,   11.834562
   0.056667,   11.834562
   0.058333,   11.834562
   0.060000,   11.834562
   0.061667,   11.834562
   0.063333,   11.834562
   0.065000,   11.834562
   0.066667,   11.834562
   0.068333,   11.834562
   0.070000,   11.834562
   0.071667,   11.834562
   0.073333,   11.834562
   0.075000,   11.834562
   0.076667,   11.834562
   0.078333,   11.834562
   0.080000,   11.834562
   0.081667,   11.834562
   0.083333,   11.834562
   0.085000,   11.834562
   0.086667,   11.834562
   0.088333,   11.834562
   0.090000,   11.834562
   0.091667,   11.834562
   0.093333,   11.834562
   0.095000,   11.834562
   0.096667,   11.834562
   0.098333,   11.834562
   0.100000,   11.834562
   0.101667,   11.834562
   0.103333,   11.834562
   0.105000,   11.834562
   0.106667,   11.834562
   0.108333,   11.834562
   0.110000,   11.834562
   0.111667,   11.834562
   0.113333,   11.834562
   0.115000,   11.834562
   0.116667,   11.834562
   0.118333,   11.834562
   0.120000,   11.834562
   0.121667,   11.834562
   0.123333,   11.834562
   0.125000,   11.834562
   0.126667,   11.834562
   0.128333,   11.834562
   0.130000,   11.834562
   0.131667,   11.834562
   0.133333,   11.834562
   0.135000,   11.834562
   0.136667,   11.834562
   0.138333,   11.834562
   0.140000,   11.834562
   0.141667,   11.834562
   0.143333,   11.834562
   0.145000,   11.834562
   0.146667,   11.834562
   0.148333,   11.834562
   0.150000,   11.834562
   0.151667,   11.834562
   0.153333,   11.834562
   0.155000,   11.834562
   0.156667,   11.834562
   0.158333,   11.834562
   0.160000,   11.834562
   0.161667,   11.834562
   0.163333,   11.834562
   0.165000,   11.834562
   0.166667,   11.834562
   0.168333,   11.834562
   0.170000,   11.834562
   0.171667,   11.834562
   0.173333,   11.834562
   0.175000,   11.834562
   0.176667,   11.834562
   0.178333,   11.834562
   0.180000,   11.834562
   0.181667,   11.834562
   0.183333,   11.834562
   0.185000,   11.834562
   0.186667,   11.834562
   0.188333,   11.834562
   0.190000,   11.834562
   0.191667,   11.834562
   0.193333,   11.834562
   0.195000,   11.834562
   0.196667,   11.834562
   0.198333,   11.834562
   0.200000,   11.834562
   0.201667,   11.834562
   0.203333,   11.834562
   0.205000,   11.834562
   0.206667,   11.834562
   0.208333,   11.834562
   0.210000,   11.834562
   0.211667,   11.834562
   0.213333,   11.834562
   0.215000,   11.834562
   0.216667,   11.834562
   0.218333,   11.834562
   0.220000,   11.834562
   0.221667,   11.834562
   0.223333,   11.834562
   0.225000,   11.834562
   0.226667,   11.834562
   0.228333,   11.834562
   0.230000,   11.834562
   0.231667,   11.834562
   0.233333,   11.834562
   0.235000,   11.834562
   0.236667,   11.834562
   0.238333,   11.834562
   0.240000,   11.834562
   0.241667,   11.834562
   0.243333,   11.834562
   0.245000,   11.834562
