Fuel used, Altitude
   0.000000,    0.000000
  60.984724,   35.000000
 777.658134, 17000.000000
14640.872659, 17000.000000
14901.724782, 1500.000000
15364.328394, 15000.000000
16413.658484, 15000.000000
16645.153100, 1500.000000
17787.371072, 1500.000000
17815.502798,   50.000000
17815.502798,    0.000000
