eta, Cd
   0.000000,    0.006514
   0.020408,    0.006517
   0.040816,    0.006534
   0.061224,    0.006552
   0.081633,    0.006569
   0.102041,    0.006587
   0.122449,    0.006604
   0.142857,    0.006621
   0.163265,    0.006637
   0.183673,    0.006653
   0.204082,    0.006669
   0.224490,    0.006683
   0.244898,    0.006697
   0.265306,    0.006711
   0.285714,    0.006723
   0.306122,    0.006735
   0.326531,    0.006746
   0.346939,    0.006756
   0.367347,    0.006765
   0.387755,    0.006773
   0.408163,    0.006780
   0.428571,    0.006786
   0.448980,    0.006791
   0.469388,    0.006795
   0.489796,    0.006797
   0.510204,    0.006797
   0.530612,    0.006796
   0.551020,    0.006794
   0.571429,    0.006789
   0.591837,    0.006782
   0.612245,    0.006773
   0.632653,    0.006761
   0.653061,    0.006746
   0.673469,    0.006729
   0.693878,    0.006707
   0.714286,    0.006682
   0.734694,    0.006652
   0.755102,    0.006618
   0.775510,    0.006577
   0.795918,    0.006530
   0.816327,    0.006476
   0.836735,    0.006412
   0.857143,    0.006339
   0.877551,    0.006275
   0.897959,    0.006206
   0.918367,    0.006123
   0.938776,    0.006025
   0.959184,    0.005911
   0.979592,    0.005892
   1.000000,    0.005526
