%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
   3.00000   6.39000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000  -0.04000
   3.00000   6.34355   0.00505   0.00735   0.52865   0.00000   0.00000   1.07168  -0.04000
   3.00000   6.25064   0.01515   0.02205   0.53715   0.00000   0.00000   1.07298  -0.04000
   3.00000   6.15773   0.02525   0.03675   0.54659   0.00000   0.00000   1.07559  -0.04000
   3.00000   6.06482   0.03535   0.05144   0.55704   0.00000   0.00000   1.07961  -0.04000
   3.00000   5.97191   0.04545   0.06614   0.56862   0.00000   0.00000   1.08518  -0.04000
   3.00000   5.87900   0.05556   0.08084   0.58149   0.00000   0.00000   1.09248  -0.04000
   3.00000   5.78609   0.06566   0.09554   0.59587   0.00000   0.00000   1.10181  -0.04000
   3.00000   5.69318   0.07576   0.11024   0.61208   0.00000   0.00000   1.11360  -0.04000
   3.00000   5.60027   0.08586   0.12493   0.63058   0.00000   0.00000   1.12854  -0.04000
   3.00000   5.50736   0.09596   0.13963   0.65219   0.00000   0.00000   1.14785  -0.04000
   3.00000   5.41446   0.10606   0.15433   0.67868   0.00000   0.00000   1.17433  -0.04000
   3.00000   5.47405   0.11616   0.15939   0.69791   0.00000   0.00000   1.22089  -0.04000
   3.00000   5.47615   0.12626   0.16808   0.71751   0.00000   0.00000   1.25565  -0.04000
   3.00000   5.38324   0.13636   0.18278   0.74272   0.00000   0.00000   1.27773  -0.04000
   3.00000   5.29033   0.14646   0.19747   0.76529   0.00000   0.00000   1.29383  -0.04000
   3.00000   5.19742   0.15657   0.21217   0.78622   0.00000   0.00000   1.30587  -0.04000
   3.00000   5.10451   0.16667   0.22687   0.80598   0.00000   0.00000   1.31477  -0.04000
   3.00000   5.01160   0.17677   0.24157   0.82488   0.00000   0.00000   1.32111  -0.04000
   3.00000   4.91869   0.18687   0.25627   0.84312   0.00000   0.00000   1.32527  -0.04000
   3.00000   4.82578   0.19697   0.27097   0.86082   0.00000   0.00000   1.32754  -0.04000
   3.00000   4.73287   0.20707   0.28566   0.87810   0.00000   0.00000   1.32812  -0.04000
   3.00000   4.63997   0.21717   0.30036   0.89505   0.00000   0.00000   1.32718  -0.04000
   3.00000   4.54706   0.22727   0.31506   0.91173   0.00000   0.00000   1.32485  -0.04000
   3.00000   4.45415   0.23737   0.32976   0.92821   0.00000   0.00000   1.32124  -0.04000
   3.00000   4.36124   0.24747   0.34446   0.94454   0.00000   0.00000   1.31644  -0.04000
   3.00000   4.26833   0.25758   0.35916   0.96077   0.00000   0.00000   1.31052  -0.04000
   3.00000   4.17542   0.26768   0.37385   0.97692   0.00000   0.00000   1.30356  -0.04000
   3.00000   4.08251   0.27778   0.38855   0.99304   0.00000   0.00000   1.29558  -0.04000
   3.00000   3.98960   0.28788   0.40325   1.00914   0.00000   0.00000   1.28661  -0.04000
   3.00000   3.89669   0.29798   0.41795   1.02519   0.00000   0.00000   1.27665  -0.04000
   3.00000   3.80378   0.30808   0.43265   1.04115   0.00000   0.00000   1.26560  -0.04000
   3.00000   3.71088   0.31818   0.44734   1.05677   0.00000   0.00000   1.25321  -0.04000
