eta, Total_load
   0.000000, 45324.408606
   0.020408, 44905.090659
   0.040816, 44764.388419
   0.061224, 44559.338623
   0.081633, 44300.894282
   0.102041, 43996.412824
   0.122449, 43651.407983
   0.142857, 43270.265423
   0.163265, 42856.622648
   0.183673, 42413.605343
   0.204082, 41943.997748
   0.224490, 41450.392517
   0.244898, 40935.366315
   0.265306, 40401.777114
   0.285714, 39840.037466
   0.306122, 39266.591783
   0.326531, 38732.438156
   0.346939, 38160.021380
   0.367347, 37577.183834
   0.387755, 36983.800372
   0.408163, 36380.106995
   0.428571, 35766.467582
   0.448980, 35143.266904
   0.469388, 34510.856049
   0.489796, 33869.522519
   0.510204, 33219.364733
   0.530612, 32560.480659
   0.551020, 31892.966621
   0.571429, 31216.688668
   0.591837, 30531.368159
   0.612245, 29836.557536
   0.632653, 29131.608590
   0.653061, 28415.630528
   0.673469, 27687.434093
   0.693878, 26945.456457
   0.714286, 26187.659190
   0.734694, 25411.387883
   0.755102, 24613.176058
   0.775510, 23788.466345
   0.795918, 22931.205584
   0.816327, 22033.242153
   0.836735, 21083.401923
   0.857143, 20066.019727
   0.877551, 18958.498830
   0.897959, 17727.015345
   0.918367, 16318.350475
   0.938776, 14642.541039
   0.959184, 12528.979904
   0.979592, 9572.714676
   1.000000,    0.000000
