eta, M
   0.000000, 1700.059208
   0.020408, 1612.548938
   0.040816, 1530.871042
   0.061224, 1448.727590
   0.081633, 1366.201979
   0.102041, 1283.382780
   0.122449, 1200.361326
   0.142857, 1117.230648
   0.163265, 1034.084902
   0.183673,  951.019041
   0.204082,  868.128637
   0.224490,  785.509820
   0.244898,  703.259296
   0.265306,  621.474453
   0.285714,  540.253527
   0.306122,  459.695835
   0.326531,  379.902068
   0.346939,  300.974650
   0.367347,  223.018158
   0.387755,  146.139813
   0.408163,   70.450038
   0.428571,   -3.936887
   0.448980,  -76.902083
   0.469388, -148.321221
   0.489796, -218.063532
   0.510204, -285.988610
   0.530612, -351.947167
   0.551020, -415.782400
   0.571429, -477.323619
   0.591837, -536.385494
   0.612245, -592.765397
   0.632653, -646.240201
   0.653061, -696.562356
   0.673469, -743.455045
   0.693878, -786.606130
   0.714286, -825.660467
   0.734694, -860.210005
   0.755102, -889.780787
   0.775510, -913.815525
   0.795918, -931.649633
   0.816327, -942.477286
   0.836735, -945.301599
   0.857143, -938.858264
   0.877551, -921.492023
   0.897959, -890.942776
   0.918367, -843.940394
   0.938776, -775.335293
   0.959184, -675.846195
   0.979592, -523.930788
   1.000000,    0.000000
