eta, M
   0.000000, 8500.296041
   0.020408, 8062.744688
   0.040816, 7654.355212
   0.061224, 7243.637951
   0.081633, 6831.009895
   0.102041, 6416.913901
   0.122449, 6001.806631
   0.142857, 5586.153241
   0.163265, 5170.424511
   0.183673, 4755.095205
   0.204082, 4340.643186
   0.224490, 3927.549098
   0.244898, 3516.296478
   0.265306, 3107.372264
   0.285714, 2701.267635
   0.306122, 2298.479173
   0.326531, 1899.510338
   0.346939, 1504.873249
   0.367347, 1115.090792
   0.387755,  730.699063
   0.408163,  352.250188
   0.428571,  -19.684433
   0.448980, -384.510415
   0.469388, -741.606106
   0.489796, -1090.317660
   0.510204, -1429.943048
   0.530612, -1759.735833
   0.551020, -2078.911999
   0.571429, -2386.618097
   0.591837, -2681.927469
   0.612245, -2963.826985
   0.632653, -3231.201005
   0.653061, -3482.811778
   0.673469, -3717.275223
   0.693878, -3933.030649
   0.714286, -4128.302335
   0.734694, -4301.050024
   0.755102, -4448.903937
   0.775510, -4569.077627
   0.795918, -4658.248165
   0.816327, -4712.386428
   0.836735, -4726.507996
   0.857143, -4694.291321
   0.877551, -4607.460116
   0.897959, -4454.713879
   0.918367, -4219.701971
   0.938776, -3876.676465
   0.959184, -3379.230973
   0.979592, -2619.653938
   1.000000,    0.000000
