alpha body, Static Stability Margin
  -4.000000,    0.215333
  -3.172414,    0.218778
  -2.344828,    0.225616
  -1.517241,    0.232344
  -0.689655,    0.241270
   0.137931,    0.247687
   0.965517,    0.251771
   1.793103,    0.258231
   2.620690,    0.264563
   3.448276,    0.270774
   4.275862,    0.272341
   5.103448,    0.267135
   5.931034,    0.264372
   6.758621,    0.266246
   7.586207,    0.268981
   8.413793,    0.266012
   9.241379,    0.234634
  10.068966,    0.117195
  10.896552,   -0.400543
  11.724138,    4.417638
  12.551724,    6.131691
  13.379310,    2.094743
  14.206897,  171.564063
  15.034483,  170.587965
  15.862069,   -0.181226
  16.689655,    0.057063
  17.517241,    0.140336
  18.344828,    0.183817
  19.172414,    0.211509
  20.000000,    0.222836
