CL_e, delta_e_eq
  -0.366794,    5.000000
  -0.288853,    5.000000
  -0.210918,    5.000000
  -0.132988,    5.000000
  -0.055060,    3.983415
   0.022867,    2.884697
   0.100797,    1.773326
   0.178730,    0.654341
   0.256670,   -0.476947
   0.335659,   -1.481450
   0.412625,   -2.777255
   0.489605,   -4.087207
   0.566600,   -5.420603
   0.643614,   -6.790410
   0.720647,   -8.172914
   0.797703,   -9.672497
   0.874784,  -11.199266
   0.951892,  -13.064905
   1.029030,  -15.251379
   1.106199,  -23.225230
   1.183402,  -25.000000
