CL_e, delta_e_eq
  -0.348733,    5.000000
  -0.274500,    5.000000
  -0.200290,    5.000000
  -0.126098,    5.000000
  -0.051919,    4.407048
   0.022253,    2.801831
   0.096421,    1.185887
   0.170591,   -0.437316
   0.244767,   -2.075640
   0.319945,   -3.599443
   0.393201,   -5.406877
   0.466477,   -7.263009
   0.539779,   -9.198209
   0.613110,  -11.235713
   0.686474,  -13.776389
   0.759878,  -20.658539
   0.833324,  -25.000000
