CL_e, delta_e_eq
  -0.391844,    5.000000
  -0.312264,    4.172744
  -0.232443,    3.316402
  -0.152384,    2.492234
  -0.072088,    1.687106
   0.008444,    0.943572
   0.089210,    0.218758
   0.170211,   -0.488331
   0.251445,   -1.177698
   0.333993,   -1.705026
   0.414668,   -2.501779
   0.495578,   -3.281749
   0.576724,   -4.044796
   0.658108,   -4.790732
   0.739730,   -5.533019
   0.821593,   -6.263721
   0.903696,   -6.977039
   0.986044,   -7.672559
   1.068636,   -8.351535
   1.151475,   -9.066978
   1.234562,   -9.762567
   1.317902,  -10.437562
   1.401495,  -11.092184
   1.482959,  -11.777399
   1.552796,  -12.738920
   1.604026,  -13.866163
   1.634648,  -15.542785
   1.647702,  -22.062759
   1.651244,  -25.000000
