eta, Cl
   0.000000,    0.093786
   0.020408,    0.094198
   0.040816,    0.095029
   0.061224,    0.095888
   0.081633,    0.096755
   0.102041,    0.097617
   0.122449,    0.098466
   0.142857,    0.099298
   0.163265,    0.100107
   0.183673,    0.100891
   0.204082,    0.101647
   0.224490,    0.102372
   0.244898,    0.103065
   0.265306,    0.103723
   0.285714,    0.104345
   0.306122,    0.104928
   0.326531,    0.105470
   0.346939,    0.105968
   0.367347,    0.106421
   0.387755,    0.106825
   0.408163,    0.107176
   0.428571,    0.107472
   0.448980,    0.107709
   0.469388,    0.107881
   0.489796,    0.107984
   0.510204,    0.108011
   0.530612,    0.107957
   0.551020,    0.107813
   0.571429,    0.107573
   0.591837,    0.107226
   0.612245,    0.106762
   0.632653,    0.106169
   0.653061,    0.105433
   0.673469,    0.104537
   0.693878,    0.103464
   0.714286,    0.102192
   0.734694,    0.100696
   0.755102,    0.098946
   0.775510,    0.096908
   0.795918,    0.094541
   0.816327,    0.091792
   0.836735,    0.088600
   0.857143,    0.084885
   0.877551,    0.080542
   0.897959,    0.075425
   0.918367,    0.069323
   0.938776,    0.061894
   0.959184,    0.052510
   0.979592,    0.039673
   1.000000,    0.000000
