alpha body, Neutral Point
 -10.000000,    0.344603
  -9.090909,    0.339670
  -8.181818,    0.329741
  -7.272727,    0.322159
  -6.363636,    0.309548
  -5.454545,    0.296753
  -4.545455,    0.291220
  -3.636364,    0.285576
  -2.727273,    0.248372
  -1.818182,    0.268529
  -0.909091,    0.319708
  -0.000000,    0.312900
   0.909091,    0.305657
   1.818182,    0.298091
   2.727273,    0.290547
   3.636364,    0.282494
   4.545455,    0.273505
   5.454545,    0.263950
   6.363636,    0.253930
   7.272727,    0.243350
   8.181818,    0.232026
   9.090909,    0.220073
  10.000000,    0.210169
  10.909091,    0.207419
  11.818182,    0.213967
  12.727273,    0.228939
  13.636364,    0.252708
  14.545455,    0.285330
