eta, Gamma
   0.000000,  251.425074
   0.020408,  251.565911
   0.040816,  251.883038
   0.061224,  252.241165
   0.081633,  252.586521
   0.102041,  252.888374
   0.122449,  253.127069
   0.142857,  253.289221
   0.163265,  253.365267
   0.183673,  253.348076
   0.204082,  253.232085
   0.224490,  253.012742
   0.244898,  252.686116
   0.265306,  252.248630
   0.285714,  251.696856
   0.306122,  251.027362
   0.326531,  250.236589
   0.346939,  249.320745
   0.367347,  248.275715
   0.387755,  247.096973
   0.408163,  245.779503
   0.428571,  244.317714
   0.448980,  242.705351
   0.469388,  240.935405
   0.489796,  239.000005
   0.510204,  236.888497
   0.530612,  234.590604
   0.551020,  232.096752
   0.571429,  229.394206
   0.591837,  226.468587
   0.612245,  223.303625
   0.632653,  219.880878
   0.653061,  216.179391
   0.673469,  212.175283
   0.693878,  207.841241
   0.714286,  203.145884
   0.734694,  198.052935
   0.755102,  192.520133
   0.775510,  186.497716
   0.795918,  179.926251
   0.816327,  172.733418
   0.836735,  164.829043
   0.857143,  156.097176
   0.877551,  146.382846
   0.897959,  135.468534
   0.918367,  123.028733
   0.938776,  108.530740
   0.959184,   90.973298
   0.979592,   67.926545
   1.000000,    0.000000
