Time, Specific Fuel Consmption
   0.000000,    0.002642
   0.001667,    0.002645
   0.003333,    0.002648
   0.005000,    0.002651
   0.006667,    0.002653
   0.008333,    0.002656
   0.010000,    0.002659
   0.011667,    0.002662
   0.013333,    0.002665
   0.015000,    0.002668
   0.016667,    0.002671
   0.018333,    0.002674
   0.020000,    0.002676
   0.021667,    0.002679
   0.023333,    0.002682
   0.025000,    0.002685
   0.026667,    0.002688
   0.028333,    0.002691
   0.030000,    0.002694
   0.031667,    0.002696
   0.033333,    0.002699
   0.035000,    0.002702
   0.036667,    0.002705
   0.038333,    0.002708
   0.040000,    0.002711
   0.041667,    0.002713
   0.043333,    0.002716
   0.045000,    0.002719
   0.046667,    0.002722
   0.048333,    0.002725
   0.050000,    0.002727
   0.051667,    0.002730
   0.053333,    0.002733
   0.055000,    0.002736
   0.056667,    0.002739
   0.058333,    0.002741
   0.060000,    0.002744
   0.061667,    0.002747
   0.063333,    0.002750
   0.065000,    0.002752
   0.066667,    0.002755
   0.068333,    0.002758
   0.070000,    0.002761
   0.071667,    0.002764
   0.073333,    0.002766
   0.075000,    0.002769
   0.076667,    0.002772
   0.078333,    0.002774
   0.080000,    0.002777
   0.081667,    0.002780
   0.083333,    0.002783
   0.085000,    0.002786
   0.086667,    0.002789
   0.088333,    0.002792
   0.090000,    0.002795
   0.091667,    0.002798
   0.093333,    0.002802
   0.095000,    0.002805
   0.096667,    0.002808
   0.098333,    0.002811
   0.100000,    0.002815
   0.101667,    0.002818
   0.103333,    0.002822
   0.105000,    0.002826
   0.106667,    0.002831
   0.108333,    0.002835
   0.110000,    0.002840
   0.111667,    0.002844
   0.113333,    0.002849
   0.115000,    0.002853
   0.116667,    0.002857
   0.118333,    0.002862
   0.120000,    0.002866
   0.121667,    0.002870
   0.123333,    0.002875
   0.125000,    0.002879
   0.126667,    0.002883
   0.128333,    0.002888
   0.130000,    0.002892
   0.131667,    0.002896
   0.133333,    0.002900
   0.135000,    0.002905
   0.136667,    0.002909
   0.138333,    0.002913
   0.140000,    0.002917
   0.141667,    0.002922
   0.143333,    0.002926
   0.145000,    0.002930
   0.146667,    0.002934
   0.148333,    0.002938
   0.150000,    0.002943
   0.151667,    0.002947
   0.153333,    0.002951
   0.155000,    0.002955
   0.156667,    0.002959
   0.158333,    0.002963
   0.160000,    0.002967
   0.161667,    0.002971
   0.163333,    0.002976
   0.165000,    0.002980
   0.166667,    0.002984
   0.168333,    0.002988
   0.170000,    0.002992
   0.171667,    0.002996
   0.173333,    0.003000
   0.175000,    0.003004
   0.176667,    0.003008
   0.178333,    0.003012
   0.180000,    0.003016
