LTO_Nox (kg), LTO UHC (kg)
   1.260288,    0.006112
   1.260289,    0.006112
   1.260289,    0.006112
   1.260288,    0.006112
   1.260295,    0.006112
   1.260288,    0.006112
   1.260289,    0.006112
   1.260283,    0.006112
   1.260283,    0.006112
   1.260295,    0.006112
   1.260290,    0.006112
   1.260282,    0.006112
   1.260282,    0.006112
   1.260282,    0.006112
   1.260295,    0.006112
   1.260292,    0.006112
   1.260284,    0.006112
   1.260283,    0.006112
   1.260282,    0.006112
   1.260304,    0.006112
   1.260296,    0.006112
   1.260296,    0.006112
   1.260281,    0.006112
   1.260282,    0.006112
   1.260287,    0.006112
   1.260295,    0.006112
   1.260293,    0.006112
   1.260306,    0.006112
   1.260282,    0.006112
   1.260286,    0.006112
   1.260287,    0.006112
   1.260287,    0.006112
   1.260282,    0.006112
   1.260285,    0.006112
   1.260365,    0.006112
   1.260298,    0.006112
   1.260285,    0.006112
   1.260362,    0.006112
   1.260283,    0.006112
   1.260306,    0.006112
   1.260306,    0.006112
   1.260297,    0.006112
   1.260288,    0.006112
   1.260309,    0.006112
   1.260312,    0.006112
   1.260304,    0.006112
   1.260303,    0.006112
   1.260282,    0.006112
   1.260281,    0.006112
   1.260313,    0.006112
   1.260346,    0.006112
   1.260295,    0.006112
   1.260301,    0.006112
   1.260310,    0.006112
   1.260350,    0.006112
   1.260307,    0.006112
   1.260283,    0.006112
   1.260287,    0.006112
   1.260282,    0.006112
   1.260302,    0.006112
   1.260338,    0.006112
   1.260306,    0.006112
   1.260289,    0.006112
   1.260305,    0.006112
   1.260299,    0.006112
   1.260372,    0.006112
   1.260335,    0.006112
   1.260301,    0.006112
   1.260301,    0.006112
   1.260335,    0.006112
   1.260281,    0.006112
   1.260295,    0.006112
   1.260302,    0.006112
   1.260304,    0.006112
   1.260287,    0.006112
   1.260304,    0.006112
   1.260305,    0.006112
   1.260281,    0.006112
   1.260297,    0.006112
   1.260293,    0.006112
   1.260299,    0.006112
   1.260290,    0.006112
   1.260305,    0.006112
   1.260286,    0.006112
   1.260281,    0.006112
   1.260287,    0.006112
   1.260335,    0.006112
   1.260338,    0.006112
   1.260282,    0.006112
   1.260390,    0.006112
   1.260280,    0.006112
   1.260281,    0.006112
   1.260305,    0.006112
   1.260281,    0.006112
   1.260282,    0.006112
   1.260289,    0.006112
   1.260293,    0.006112
   1.260291,    0.006112
   1.260340,    0.006112
   1.260281,    0.006112
   1.260307,    0.006112
   1.260301,    0.006112
   1.260281,    0.006112
   1.260281,    0.006112
   1.260281,    0.006112
   1.260280,    0.006112
   1.260308,    0.006112
   1.260314,    0.006112
   1.260281,    0.006112
   1.260306,    0.006112
   1.260380,    0.006112
   1.260316,    0.006112
   1.260293,    0.006112
   1.260295,    0.006112
   1.260281,    0.006112
   1.260282,    0.006112
   1.260281,    0.006112
   1.260312,    0.006112
   1.260292,    0.006112
   1.260285,    0.006112
   1.260303,    0.006112
   1.260341,    0.006112
   1.260365,    0.006112
   1.260327,    0.006112
   1.260281,    0.006112
   1.260285,    0.006112
   1.260358,    0.006112
   1.260289,    0.006112
   1.260280,    0.006112
   1.260376,    0.006112
   1.260302,    0.006112
   1.260297,    0.006112
   1.260327,    0.006112
   1.260348,    0.006112
   1.260322,    0.006112
   1.260340,    0.006112
   1.260366,    0.006112
   1.260281,    0.006112
   1.260305,    0.006112
   1.260301,    0.006112
   1.260283,    0.006112
   1.260282,    0.006112
   1.260349,    0.006112
   1.260365,    0.006112
   1.260344,    0.006112
   1.260344,    0.006112
