CD, CL
   0.022364,   -0.064663
   0.021459,   -0.002353
   0.020899,    0.059033
   0.020625,    0.120395
   0.020652,    0.181731
   0.020973,    0.243044
   0.021596,    0.304334
   0.022520,    0.365601
   0.023747,    0.426847
   0.025281,    0.488069
   0.027119,    0.549269
   0.029276,    0.610449
   0.031745,    0.671609
   0.034533,    0.732749
   0.037631,    0.793867
   0.041047,    0.854966
   0.044778,    0.916046
   0.048828,    0.977109
   0.053198,    1.038153
   0.057888,    1.099179
   0.062907,    1.160224
   0.068250,    1.221476
   0.073936,    1.282892
   0.079954,    1.344333
   0.086316,    1.405807
   0.092990,    1.461559
