CD, CL
   0.022699,   -0.271796
   0.021793,   -0.209487
   0.021234,   -0.148100
   0.020960,   -0.086738
   0.020987,   -0.025402
   0.021308,    0.035910
   0.021931,    0.097200
   0.022854,    0.158468
   0.024081,    0.219714
   0.025615,    0.280935
   0.027454,    0.342136
   0.029611,    0.403316
   0.032079,    0.464475
   0.034868,    0.525615
   0.037965,    0.586734
   0.041381,    0.647833
   0.045113,    0.708913
   0.049162,    0.769975
   0.053533,    0.831020
   0.058222,    0.892045
   0.063241,    0.953090
   0.068584,    1.014342
   0.074271,    1.075759
   0.080288,    1.137200
   0.086650,    1.198673
   0.093325,    1.254425
