CD, CL
   0.026347,   -0.388871
   0.025442,   -0.326562
   0.024882,   -0.265175
   0.024608,   -0.203813
   0.024635,   -0.142477
   0.024956,   -0.081165
   0.025580,   -0.019875
   0.026503,    0.041393
   0.027730,    0.102639
   0.029264,    0.163860
   0.031102,    0.225061
   0.033259,    0.286241
   0.035728,    0.347401
   0.038516,    0.408541
   0.041614,    0.469659
   0.045030,    0.530758
   0.048761,    0.591838
   0.052811,    0.652900
   0.057181,    0.713945
   0.061871,    0.774970
   0.066890,    0.836015
   0.072233,    0.897268
   0.077920,    0.958684
   0.083937,    1.020125
   0.090299,    1.081598
   0.096974,    1.137350
