Ground Distance, 
   0.000000,  121.422023
 802.252462,  121.422023
 836.009915,  119.886423
 869.767367,  118.350824
 903.524820,  116.815225
 937.282272,  115.279626
 971.039725,  113.744027
1004.797177,  112.208427
1038.554630,  110.672828
1072.312082,  109.137229
1106.069535,  107.601630
1108.671547,  107.563594
1134.641156,  107.184241
1313.343861,  104.587197
1348.562508,  104.078149
1383.609893,  103.572491
1418.487155,  103.070197
1453.195427,  102.571241
1460.116901,  102.471848
1460.292604,  102.469325
1460.373184,  102.468168
1460.452956,  102.467023
1460.501041,  102.466333
1460.517037,  102.466103
1460.526142,  102.465972
1460.527435,  102.465952
1460.528764,  102.465912
1460.542056,  102.465513
1460.674966,  102.461524
1462.003790,  102.421625
1475.263516,  102.021736
1510.308685,  100.949223
1532.716470,  100.251306
1543.019134,   99.927161
1554.120285,   99.575510
1662.952276,   95.989501
1820.214170,   90.313716
1967.661648,   84.361880
2104.840870,   78.149037
2231.327082,   71.694613
2346.731996,   65.022371
2450.710960,   58.160211
2542.969665,   51.139816
2550.804259,   50.491830
2555.435944,   50.104327
2557.190680,   49.956641
2559.005360,   49.803369
2576.844845,   48.265774
2652.221669,   41.025383
2715.247165,   33.636201
2765.703215,   26.137830
2803.440747,   18.572337
2828.383120,   10.983326
2840.259959,    3.749313
2841.171817,    2.430881
2841.642754,    1.306607
2841.827936,    0.239159
2841.833128,    0.104810
2841.834296,    0.024298
2841.834356,   -0.007180
