V/VsTO, Thrust - Yawing Moment
   1.064882, 510194.345424
   1.068635, 509830.838966
   1.072388, 509467.332508
   1.076141, 509103.826051
   1.079895, 508741.038626
   1.083648, 508392.959286
   1.087401, 508044.879946
   1.091155, 507696.800606
   1.094908, 507348.721267
   1.098661, 507000.641927
   1.102414, 506652.562587
   1.106168, 506304.483247
   1.109921, 505956.403908
   1.113674, 505608.324568
   1.117428, 505260.245228
   1.121181, 504912.165888
   1.124934, 504564.086548
   1.128688, 504216.007209
   1.132441, 503867.927869
   1.136194, 503526.463113
   1.139947, 503188.361156
   1.143701, 502850.259198
   1.147454, 502512.157240
   1.151207, 502174.055283
   1.154961, 501835.953325
   1.158714, 501497.851367
   1.162467, 501159.749409
   1.166220, 500821.647452
   1.169974, 500483.545494
   1.173727, 500145.443536
   1.177480, 499807.341579
   1.181234, 499469.239621
   1.184987, 499131.137663
   1.188740, 498794.195587
   1.192493, 498460.246648
   1.196247, 498126.297709
   1.200000, 497792.348771
