eta, Cm
   0.000000,    0.294216
   0.020408,    0.285581
   0.040816,    0.278372
   0.061224,    0.270655
   0.081633,    0.262355
   0.102041,    0.253423
   0.122449,    0.243817
   0.142857,    0.233502
   0.163265,    0.222445
   0.183673,    0.210616
   0.204082,    0.197984
   0.224490,    0.184519
   0.244898,    0.170190
   0.265306,    0.154966
   0.285714,    0.138813
   0.306122,    0.121699
   0.326531,    0.103588
   0.346939,    0.084444
   0.367347,    0.064230
   0.387755,    0.042907
   0.408163,    0.020435
   0.428571,   -0.003225
   0.448980,   -0.028115
   0.469388,   -0.054276
   0.489796,   -0.081747
   0.510204,   -0.110567
   0.530612,   -0.140771
   0.551020,   -0.172393
   0.571429,   -0.205458
   0.591837,   -0.239985
   0.612245,   -0.275980
   0.632653,   -0.313433
   0.653061,   -0.352315
   0.673469,   -0.392564
   0.693878,   -0.434084
   0.714286,   -0.476722
   0.734694,   -0.520259
   0.755102,   -0.564380
   0.775510,   -0.608640
   0.795918,   -0.652420
   0.816327,   -0.694860
   0.836735,   -0.734758
   0.857143,   -0.770428
   0.877551,   -0.799476
   0.897959,   -0.818422
   0.918367,   -0.822033
   0.938776,   -0.801957
   0.959184,   -0.743366
   0.979592,   -0.613445
   1.000000,    0.000000
