eta, Cm
   0.000000,    0.058843
   0.020408,    0.057116
   0.040816,    0.055674
   0.061224,    0.054131
   0.081633,    0.052471
   0.102041,    0.050685
   0.122449,    0.048763
   0.142857,    0.046700
   0.163265,    0.044489
   0.183673,    0.042123
   0.204082,    0.039597
   0.224490,    0.036904
   0.244898,    0.034038
   0.265306,    0.030993
   0.285714,    0.027763
   0.306122,    0.024340
   0.326531,    0.020718
   0.346939,    0.016889
   0.367347,    0.012846
   0.387755,    0.008581
   0.408163,    0.004087
   0.428571,   -0.000645
   0.448980,   -0.005623
   0.469388,   -0.010855
   0.489796,   -0.016349
   0.510204,   -0.022113
   0.530612,   -0.028154
   0.551020,   -0.034479
   0.571429,   -0.041092
   0.591837,   -0.047997
   0.612245,   -0.055196
   0.632653,   -0.062687
   0.653061,   -0.070463
   0.673469,   -0.078513
   0.693878,   -0.086817
   0.714286,   -0.095344
   0.734694,   -0.104052
   0.755102,   -0.112876
   0.775510,   -0.121728
   0.795918,   -0.130484
   0.816327,   -0.138972
   0.836735,   -0.146952
   0.857143,   -0.154086
   0.877551,   -0.159895
   0.897959,   -0.163684
   0.918367,   -0.164407
   0.938776,   -0.160391
   0.959184,   -0.148673
   0.979592,   -0.122689
   1.000000,    0.000000
