Ground Roll distance, Vertical Forces
 334.649065, 209617.143750
 342.303029, 209617.143750
 394.777594, 209617.143750
 405.157594, 209617.143750
 415.499724, 209617.143750
 425.804168, 209617.143750
 428.710249, 209617.143750
 434.513436, 209617.143750
 436.563472, 209617.143750
 437.383069, 209617.143750
 437.710840, 209617.143750
 437.850682, 209617.143750
 438.130344, 209617.143750
 438.153602, 209617.143750
 438.165129, 209617.143750
 438.172151, 209617.143750
 438.177788, 209617.143750
 438.181751, 209617.143750
 438.182930, 209617.143750
 438.183263, 209617.143750
 438.183570, 209617.143750
 438.186633, 209617.143750
 438.217264, 209617.143750
 438.523519, 209617.143750
 441.580171, 209617.143750
 471.534853, 209617.143750
 505.254346, 209617.143750
 535.859323, 209617.143750
 563.139647, 209617.143750
 587.246336, 209617.143750
 608.379215, 209617.143750
 626.752194, 209617.143750
 631.188041, 209617.143750
 633.962480, 209617.143750
 635.990744, 209617.143750
 636.973391, 209617.143750
 637.962934, 209617.143750
 647.469214, 209617.143750
 651.872087, 209617.143750
 654.364611, 209617.143750
 655.262493, 209617.143750
 656.334033, 209617.143750
 666.361890, 209617.143750
 668.961099, 209617.143750
 671.317935, 209617.143750
 672.389839, 209617.143750
 672.992376, 209617.143750
 673.609333, 209617.143750
 679.369596, 209617.143750
 687.184682, 209617.143750
 688.645638, 209617.143750
 689.974374, 209617.143750
 691.255827, 209617.143750
 691.526889, 209617.143750
 691.620328, 209617.143750
 691.724095, 209617.143750
 692.710393, 209617.143750
 696.159220, 209617.143750
 696.652640, 209617.143750
 696.931536, 209617.143750
 697.111678, 209617.143750
 697.221871, 209617.143750
 697.277263, 209617.143750
 697.283800, 209617.143750
 697.289716, 209617.143750
 697.289779, 209617.143750
 697.289785, 209617.143750
