eta, Ccl add.
   0.000000,    0.991669
   0.020408,    0.982532
   0.040816,    0.979556
   0.061224,    0.975226
   0.081633,    0.969778
   0.102041,    0.963370
   0.122449,    0.956124
   0.142857,    0.948138
   0.163265,    0.939493
   0.183673,    0.930263
   0.204082,    0.920516
   0.224490,    0.910318
   0.244898,    0.899740
   0.265306,    0.888864
   0.285714,    0.877512
   0.306122,    0.866122
   0.326531,    0.855893
   0.346939,    0.845011
   0.367347,    0.834019
   0.387755,    0.822873
   0.408163,    0.811551
   0.428571,    0.800039
   0.448980,    0.788327
   0.469388,    0.776409
   0.489796,    0.764278
   0.510204,    0.751923
   0.530612,    0.739337
   0.551020,    0.726511
   0.571429,    0.713434
   0.591837,    0.700089
   0.612245,    0.686459
   0.632653,    0.672521
   0.653061,    0.658245
   0.673469,    0.643596
   0.693878,    0.628529
   0.714286,    0.612988
   0.734694,    0.596902
   0.755102,    0.580178
   0.775510,    0.562697
   0.795918,    0.544304
   0.816327,    0.524791
   0.836735,    0.503874
   0.857143,    0.481159
   0.877551,    0.456079
   0.897959,    0.427792
   0.918367,    0.394977
   0.938776,    0.355409
   0.959184,    0.304889
   0.979592,    0.233474
   1.000000,    0.000000
