eta, Ccl add.
   0.000000,    4.026732
   0.020408,    3.989630
   0.040816,    3.977546
   0.061224,    3.959964
   0.081633,    3.937841
   0.102041,    3.911823
   0.122449,    3.882401
   0.142857,    3.849970
   0.163265,    3.814867
   0.183673,    3.777389
   0.204082,    3.737810
   0.224490,    3.696401
   0.244898,    3.653448
   0.265306,    3.609286
   0.285714,    3.563192
   0.306122,    3.516942
   0.326531,    3.475406
   0.346939,    3.431220
   0.367347,    3.386583
   0.387755,    3.341324
   0.408163,    3.295351
   0.428571,    3.248606
   0.448980,    3.201051
   0.469388,    3.152657
   0.489796,    3.103396
   0.510204,    3.053229
   0.530612,    3.002123
   0.551020,    2.950043
   0.571429,    2.896941
   0.591837,    2.842755
   0.612245,    2.787409
   0.632653,    2.730811
   0.653061,    2.672843
   0.673469,    2.613360
   0.693878,    2.552181
   0.714286,    2.489077
   0.734694,    2.423756
   0.755102,    2.355847
   0.775510,    2.284866
   0.795918,    2.210181
   0.816327,    2.130946
   0.836735,    2.046011
   0.857143,    1.953775
   0.877551,    1.851938
   0.897959,    1.737076
   0.918367,    1.603827
   0.938776,    1.443160
   0.959184,    1.238018
   0.979592,    0.948036
   1.000000,    0.000000
