eta, Ccl add.
   0.000000,    0.232903
   0.020408,    0.230757
   0.040816,    0.230058
   0.061224,    0.229041
   0.081633,    0.227762
   0.102041,    0.226257
   0.122449,    0.224555
   0.142857,    0.222679
   0.163265,    0.220649
   0.183673,    0.218481
   0.204082,    0.216192
   0.224490,    0.213797
   0.244898,    0.211313
   0.265306,    0.208758
   0.285714,    0.206092
   0.306122,    0.203417
   0.326531,    0.201015
   0.346939,    0.198459
   0.367347,    0.195877
   0.387755,    0.193260
   0.408163,    0.190601
   0.428571,    0.187897
   0.448980,    0.185146
   0.469388,    0.182347
   0.489796,    0.179498
   0.510204,    0.176596
   0.530612,    0.173641
   0.551020,    0.170628
   0.571429,    0.167557
   0.591837,    0.164423
   0.612245,    0.161222
   0.632653,    0.157948
   0.653061,    0.154595
   0.673469,    0.151155
   0.693878,    0.147616
   0.714286,    0.143966
   0.734694,    0.140188
   0.755102,    0.136260
   0.775510,    0.132155
   0.795918,    0.127835
   0.816327,    0.123252
   0.836735,    0.118340
   0.857143,    0.113005
   0.877551,    0.107115
   0.897959,    0.100471
   0.918367,    0.092764
   0.938776,    0.083471
   0.959184,    0.071606
   0.979592,    0.054834
   1.000000,    0.000000
