Ground distance, Fuel used
   0.000000,    0.000000
  99.978980,    0.157643
 199.974910,    0.315299
 300.009218,    0.472987
 400.054241,    0.630684
 500.142553,    0.788414
 600.242951,    0.946155
 700.387236,    1.103930
 800.543773,    1.261714
 900.744318,    1.419534
1000.957148,    1.577362
1101.213852,    1.735225
1201.482802,    1.893098
1301.795911,    2.051005
1402.121346,    2.208922
1502.490710,    2.366873
1602.872337,    2.524833
1703.298094,    2.682828
1803.736169,    2.840832
1904.218074,    2.998871
2004.712213,    3.156919
2105.250335,    3.315001
2205.800735,    3.473093
2306.394782,    3.631219
2407.001015,    3.789354
2507.651381,    3.947524
2608.314066,    4.105703
2709.020664,    4.263916
2809.739519,    4.422138
2910.503037,    4.580395
3011.279022,    4.738661
3112.099113,    4.896961
3212.931515,    5.055271
3313.808435,    5.213614
3414.697783,    5.371967
3515.631342,    5.530354
3616.577243,    5.688750
3717.568016,    5.847180
3818.571316,    6.005620
3919.618828,    6.164094
4020.678683,    6.322577
4121.783063,    6.481093
4222.899871,    6.639619
4324.060838,    6.798179
4425.234131,    6.956748
4526.452217,    7.115351
4627.682807,    7.273964
4728.957562,    7.432610
4830.244645,    7.591265
4931.576269,    7.749954
5032.920326,    7.908652
5134.308233,    8.067384
5235.708381,    8.226125
5337.151629,    8.384899
5438.606909,    8.543683
5540.105382,    8.702500
5641.615912,    8.861326
5743.169955,    9.020185
5844.736144,    9.179054
5946.346668,    9.337956
6047.969569,    9.496867
6149.636973,    9.655812
6251.316799,    9.814766
6353.041502,    9.973753
6454.778733,   10.132750
6556.560195,   10.291779
6658.354005,   10.450818
6760.192455,   10.609890
6862.043367,   10.768972
6963.938290,   10.928086
7065.845499,   11.087210
7167.796064,   11.246367
7269.758733,   11.405533
7371.764980,   11.564731
7473.783394,   11.723939
7575.845854,   11.883180
7677.920610,   12.042430
7780.039878,   12.201713
7882.171571,   12.361005
7984.347264,   12.520330
8086.535238,   12.679664
8188.767453,   12.839031
8291.012018,   12.998407
8393.300695,   13.157816
8495.601686,   13.317234
8597.947226,   13.476684
8700.305201,   13.636144
8802.708159,   13.795637
8905.123674,   13.955139
9007.583597,   14.114673
9110.055916,   14.274217
9212.572804,   14.433793
