eta, gamma_add
   0.000000,  120.040632
   0.020408,  119.902143
   0.040816,  119.533543
   0.061224,  118.997608
   0.081633,  118.323820
   0.102041,  117.532089
   0.122449,  116.637471
   0.142857,  115.652109
   0.163265,  114.586276
   0.183673,  113.449054
   0.204082,  112.248849
   0.224490,  110.993886
   0.244898,  109.692858
   0.265306,  108.356038
   0.285714,  106.998669
   0.306122,  105.645383
   0.326531,  104.312557
   0.346939,  102.979660
   0.367347,  101.634001
   0.387755,  100.270352
   0.408163,   98.885885
   0.428571,   97.478892
   0.448980,   96.048215
   0.469388,   94.592945
   0.489796,   93.112253
   0.510204,   91.605005
   0.530612,   90.070179
   0.551020,   88.506842
   0.571429,   86.913539
   0.591837,   85.288471
   0.612245,   83.629413
   0.632653,   81.933601
   0.653061,   80.197596
   0.673469,   78.417105
   0.693878,   76.586748
   0.714286,   74.699739
   0.734694,   72.747456
   0.755102,   70.718841
   0.775510,   68.599551
   0.795918,   66.370726
   0.816327,   64.007160
   0.836735,   61.474506
   0.857143,   58.724829
   0.877551,   55.689233
   0.897959,   52.264908
   0.918367,   48.290528
   0.938776,   43.494101
   0.959184,   37.361329
   0.979592,   28.676251
   1.000000,    0.000000
