eta, gamma_add
   0.000000,   29.562574
   0.020408,   29.528469
   0.040816,   29.437693
   0.061224,   29.305707
   0.081633,   29.139773
   0.102041,   28.944792
   0.122449,   28.724473
   0.142857,   28.481807
   0.163265,   28.219322
   0.183673,   27.939257
   0.204082,   27.643681
   0.224490,   27.334620
   0.244898,   27.014214
   0.265306,   26.684993
   0.285714,   26.350712
   0.306122,   26.017436
   0.326531,   25.689199
   0.346939,   25.360945
   0.367347,   25.029548
   0.387755,   24.693720
   0.408163,   24.352765
   0.428571,   24.006263
   0.448980,   23.653928
   0.469388,   23.295537
   0.489796,   22.930885
   0.510204,   22.559693
   0.530612,   22.181709
   0.551020,   21.796704
   0.571429,   21.404319
   0.591837,   21.004111
   0.612245,   20.595533
   0.632653,   20.177903
   0.653061,   19.750374
   0.673469,   19.311890
   0.693878,   18.861126
   0.714286,   18.396409
   0.734694,   17.915618
   0.755102,   17.416028
   0.775510,   16.894107
   0.795918,   16.345211
   0.816327,   15.763133
   0.836735,   15.139413
   0.857143,   14.462246
   0.877551,   13.714665
   0.897959,   12.871352
   0.918367,   11.892576
   0.938776,   10.711353
   0.959184,    9.201027
   0.979592,    7.062140
   1.000000,    0.000000
