CLh_e, CDh_e
  -0.271596,    0.012053
  -0.252055,    0.010928
  -0.232319,    0.010027
  -0.212389,    0.009205
  -0.192266,    0.008463
  -0.171950,    0.007797
  -0.151442,    0.007208
  -0.130741,    0.006695
  -0.109848,    0.006259
  -0.088376,    0.005896
  -0.067126,    0.005607
  -0.045686,    0.005389
  -0.024055,    0.005245
  -0.002234,    0.005173
   0.019782,    0.005172
   0.041989,    0.005240
   0.064389,    0.005377
   0.086983,    0.005582
   0.109770,    0.005858
   0.132752,    0.006201
   0.155926,    0.006613
   0.179297,    0.007111
   0.202859,    0.007697
   0.226618,    0.008365
   0.250571,    0.009115
   0.273347,    0.010107
