CLh_e, CDh_e
  -0.237429,    0.012053
  -0.234062,    0.010928
  -0.230524,    0.010027
  -0.226813,    0.009205
  -0.222932,    0.008463
  -0.218876,    0.007797
  -0.214648,    0.007208
  -0.210243,    0.006695
  -0.205663,    0.006276
  -0.200548,    0.005949
  -0.195637,    0.005695
  -0.190548,    0.005512
  -0.185279,    0.005402
  -0.179830,    0.005365
  -0.174196,    0.005397
  -0.168377,    0.005498
  -0.162373,    0.005667
  -0.156181,    0.005904
  -0.149800,    0.006224
  -0.143228,    0.006630
  -0.136465,    0.007104
  -0.129509,    0.007667
  -0.122361,    0.008319
  -0.115016,    0.009053
  -0.107476,    0.009868
  -0.099165,    0.010941
