eta, Ccl
   0.000000,    5.825933
   0.020408,    5.782721
   0.040816,    5.777694
   0.061224,    5.768186
   0.081633,    5.753968
   0.102041,    5.735022
   0.122449,    5.711437
   0.142857,    5.683359
   0.163265,    5.650960
   0.183673,    5.614422
   0.204082,    5.573930
   0.224490,    5.529664
   0.244898,    5.481801
   0.265306,    5.430517
   0.285714,    5.375088
   0.306122,    5.316412
   0.326531,    5.257803
   0.346939,    5.194382
   0.367347,    5.128326
   0.387755,    5.059788
   0.408163,    4.988897
   0.428571,    4.915766
   0.448980,    4.840493
   0.469388,    4.763159
   0.489796,    4.683828
   0.510204,    4.602531
   0.530612,    4.519299
   0.551020,    4.434162
   0.571429,    4.347110
   0.591837,    4.258113
   0.612245,    4.167112
   0.632653,    4.074018
   0.653061,    3.978703
   0.673469,    3.880996
   0.693878,    3.780666
   0.714286,    3.677411
   0.734694,    3.570838
   0.755102,    3.460433
   0.775510,    3.345518
   0.795918,    3.225201
   0.816327,    3.098282
   0.836735,    2.963132
   0.857143,    2.817485
   0.877551,    2.658110
   0.897959,    2.480235
   0.918367,    2.276468
   0.938776,    2.034530
   0.959184,    1.731550
   0.979592,    1.313911
   1.000000,    0.000000
