eta, Ccl
   0.000000,    2.514227
   0.020408,    2.495514
   0.040816,    2.493148
   0.061224,    2.488718
   0.081633,    2.482120
   0.102041,    2.473340
   0.122449,    2.462408
   0.142857,    2.449374
   0.163265,    2.434299
   0.183673,    2.417242
   0.204082,    2.398255
   0.224490,    2.377384
   0.244898,    2.354659
   0.265306,    2.330089
   0.285714,    2.303260
   0.306122,    2.274322
   0.326531,    2.244468
   0.346939,    2.211924
   0.367347,    2.177843
   0.387755,    2.142407
   0.408163,    2.105757
   0.428571,    2.068009
   0.448980,    2.029260
   0.469388,    1.989593
   0.489796,    1.949078
   0.510204,    1.907767
   0.530612,    1.865707
   0.551020,    1.822948
   0.571429,    1.779518
   0.591837,    1.735434
   0.612245,    1.690704
   0.632653,    1.645319
   0.653061,    1.599258
   0.673469,    1.552481
   0.693878,    1.504928
   0.714286,    1.456510
   0.734694,    1.407106
   0.755102,    1.356549
   0.775510,    1.304616
   0.795918,    1.251004
   0.816327,    1.195299
   0.836735,    1.136935
   0.857143,    1.075116
   0.877551,    1.008699
   0.897959,    0.935985
   0.918367,    0.854334
   0.938776,    0.759338
   0.959184,    0.642757
   0.979592,    0.485187
   1.000000,    0.000000
