alpha body, Efficiency
  -4.000000,   -4.770759
  -3.172414,   -1.306811
  -2.344828,    2.478688
  -1.517241,    6.261263
  -0.689655,    9.698842
   0.137931,   12.542613
   0.965517,   14.662667
   1.793103,   16.070233
   2.620690,   16.851490
   3.448276,   17.142515
   4.275862,   17.074530
   5.103448,   16.763904
   5.931034,   16.295258
   6.758621,   15.733401
   7.586207,   15.125502
   8.413793,   14.482733
   9.241379,   13.789359
  10.068966,   13.113829
  10.896552,   12.540158
  11.724138,   12.168968
  12.551724,   12.134926
  13.379310,   12.652579
  14.206897,   13.828085
  15.034483,   16.159556
